9023_296467_000000_000000	Probably a good many ladies reading these lines will endorse my authoress's opinions.	Probably a good many ladies reading these lines will endorse my authoress's opinions.	false	0	4.89	21.406664
9023_296467_000026_000000	There is a well-authenticated story of a Cat which having had a thorn taken out of her foot by a man servant, remembered him, and welcomed him with delight when she saw him again after an absence of two years.	There is a well authenticated story of a Cat which having had a thorn taken out of her foot by a man servant, remembered him, and welcomed him with delight when she saw him again after an absence of two years.	true	971.6	982.33	19
9023_296467_000027_000000	As a strong instance of attachment, I can quote the case of a she Cat of my own, which always waited for me in the passage when I returned home of an evening, and mounted upon my shoulder to ride upstairs.	As a strong instance of attachment, I can quote the case of a she Cat of my own, which always waited for me in the passage when I returned home of an evening, and mounted upon my shoulder to ride upstairs.	true	983.12	994.24	20.625353
9023_296467_000027_000001	Returning home once after an absence of six weeks, this Cat sat on the corner of the mantel-piece, close by the bed, all night, and as it would appear wide awake, keeping a sort of guard over me, for being very restless I lay awake a long while, and then awoke again, several times, after dozing off, to find upon each occasion Miss Puss, with wide open eyes, purring loudly. I may add, that although, when we have gone away from home, the Cats have taken their meals and spent most of their time with the servants, yet upon our return they have immediately resumed their old ways, and cut the kitchen dead.	Returning home once after an absence of six weeks, this Cat sat on the corner of the mantel piece, close by the bed, all night, and as it would appear wide awake, keeping a sort of guard over me, for being very restless I lay awake a long while, and then awoke again, several times, after dozing off, to find upon each occasion Miss Puss, with wide open eyes, purring loudly. I may add, that although, when we have gone away from home, the Cats have taken their meals and spent most of their time with the servants, yet upon our return they have immediately resumed their old ways, and cut the kitchen dead.	true	994.76	1025.2	20.548864
9023_296467_000028_000000	By the report of a police case at Marlborough Street, on the 28th of June last, it appeared that a husband, brutally ill-using his wife, flung her on the ground, and seizing her by the throat, endeavoured to strangle her. While, however, she lay thus, a favourite Cat, named "Topsy," suddenly sprang upon the man, and fastened her claws and teeth in his face.	By the report of a police case at Marlborough Street, on the twenty eighth of June last, it appeared that a husband, brutally ill using his wife, flung her on the ground, and seizing her by the throat, endeavoured to strangle her. While, however, she lay thus, a favourite Cat, named "Topsy," suddenly sprang upon the man, and fastened her claws and teeth in his face.	true	1025.99	1045.96	19.935593
9023_296467_000028_000001	He could not tear the Cat away, and was obliged to implore the woman he had been ill-using to take the Cat from him to save his life.	He could not tear the Cat away, and was obliged to implore the woman he had been ill using to take the Cat from him to save his life.	true	1046.21	1052.68	19
9023_296467_000029_000000	The Cat is reproached with treachery and cruelty, but Bigland argues that the artifices which it uses are the particular instincts which the all-wise Creator has given it, in conformity with the purposes for which it was designed.	The Cat is reproached with treachery and cruelty, but Bigland argues that the artifices which it uses are the particular instincts which the all wise Creator has given it, in conformity with the purposes for which it was designed.	true	1053.8	1066.18	21.431963
9023_296467_000029_000001	Being destined to prey upon a lively and active animal like the mouse, which possesses so many means of escape, it is requisite that it should be artful; and, indeed, the Cat, when well observed, exhibits the most evident proofs of a particular adaptation to a particular purpose, and the most striking example of a peculiar instinct suited to its destiny.	Being destined to prey upon a lively and active animal like the mouse, which possesses so many means of escape, it is requisite that it should be artful; and, indeed, the Cat, when well observed, exhibits the most evident proofs of a particular adaptation to a particular purpose, and the most striking example of a peculiar instinct suited to its destiny.	true	1066.94	1086.22	21.3264
9023_296467_000030_000000	Every animal has its own way of killing and eating its prey.	Every animal has its own way of killing and eating its prey.	false	1087.13	1090.33	20.920134
9023_296467_000030_000001	The fox leaves the legs and hinder parts of a hare or rabbit; the weasel and stoat eat the brains, and nibble about the head, and suck the blood; crows and magpies peck at the eyes; the dog tears his prey to pieces indiscriminately; the Cat always turns the skin inside out like a glove.	The fox leaves the legs and hinder parts of a hare or rabbit; the weasel and stoat eat the brains, and nibble about the head, and suck the blood; crows and magpies peck at the eyes; the dog tears his prey to pieces indiscriminately; the Cat always turns the skin inside out like a glove.	true	1090.61	1107.91	21.947279
9023_296467_000031_000000	Mr. Buckland relates the case of a gamekeeper who bought up all the Cats in the neighbouring town, cut off their heads, and nailed them up as trophies of veritable captures in the woods.	mr Buckland relates the case of a gamekeeper who bought up all the Cats in the neighbouring town, cut off their heads, and nailed them up as trophies of veritable captures in the woods.	true	1108.43	1117.6	19
9023_296467_000031_000001	In a gamekeeper's museum, visited by the same writer, were no less than fifty-three Cats' heads staring hideously down from the shelves.	In a gamekeeper's museum, visited by the same writer, were no less than fifty three Cats' heads staring hideously down from the shelves.	true	1117.94	1124.5	17
9023_296467_000031_000002	There was a story attached to each head.	There was a story attached to each head.	true	1124.87	1127.05	25.026728
9023_296467_000031_000003	One Cat was killed in such a wood; another in such a hedge-row; some in traps, some shot, some knocked on the head with a stick; but what was most remarkable was the different expression of countenance observable in each individual head.	One Cat was killed in such a wood; another in such a hedge row; some in traps, some shot, some knocked on the head with a stick; but what was most remarkable was the different expression of countenance observable in each individual head.	true	1127.69	1140.1	20
9023_296467_000031_000004	One had died fighting desperately to the last, and giving up its nine lives inch by inch.	One had died fighting desperately to the last, and giving up its nine lives inch by inch.	true	1140.38	1145.14	20.492884
9023_296467_000031_000005	Caught in a trap, it had lingered the night through in dreadful agony, the pain of its entrapped limb causing it to make furious efforts to free itself, each effort but lending another torment to the wound.	Caught in a trap, it had lingered the night through in dreadful agony, the pain of its entrapped limb causing it to make furious efforts to free itself, each effort but lending another torment to the wound.	true	1145.36	1155.7	20.520493
9023_296467_000031_000006	In the morning the gamekeeper had released the poor exhausted creature for the dogs to worry out what little life was left in its body.	In the morning the gamekeeper had released the poor exhausted creature for the dogs to worry out what little life was left in its body.	true	1155.98	1161.91	17
9023_296467_000031_000007	The head dried by the heat of two summers, the wrinkled forehead, the expanded eyelids, the glary eyeballs, the whiskers stretched to their full extent, the spiteful lips, exposing the double row of tiger-like teeth, envenomed by agony, told all this.	The head dried by the heat of two summers, the wrinkled forehead, the expanded eyelids, the glary eyeballs, the whiskers stretched to their full extent, the spiteful lips, exposing the double row of tiger like teeth, envenomed by agony, told all this.	false	1162.28	1176.1	21.568615
9023_296467_000031_000008	The hand of death had not been powerful enough to relax the muscles racked for so many hours of pain and terror.	The hand of death had not been powerful enough to relax the muscles racked for so many hours of pain and terror.	true	1176.59	1182.04	16
9023_296467_000032_000000	Another Cat's head wore a very different expression; she had neither been worried nor tortured.	Another Cat's head wore a very different expression; she had neither been worried nor tortured.	true	1182.92	1187.98	19.162683
9023_296467_000032_000001	Creeping, stealthily, on the tips of her beautifully padded feet, behind some overhanging hedge, the hidden gamekeeper had suddenly shot her dead.	Creeping, stealthily, on the tips of her beautifully padded feet, behind some overhanging hedge, the hidden gamekeeper had suddenly shot her dead.	true	1188.08	1195.11	18
9023_296467_000032_000002	In death her face was calm; no expression of fear ruffled her features; she had been shot down and died instantly at the moment of anticipated triumph.	In death her face was calm; no expression of fear ruffled her features; she had been shot down and died instantly at the moment of anticipated triumph.	false	1195.11	1204.3	20.399437
9023_296467_000033_000000	A third head belonged to a poor little Puss that had died before it had attained the age of cathood; her young life had been knocked out of her with a stick: her head still retained the kitten's playful look, and there was an appealing expression about it as though it had died quickly, wondering in what it had done wrong.	A third head belonged to a poor little Puss that had died before it had attained the age of cathood; her young life had been knocked out of her with a stick: her head still retained the kitten's playful look, and there was an appealing expression about it as though it had died quickly, wondering in what it had done wrong.	true	1205.03	1220.44	20.42011
9023_296467_000034_000000	I find a writer upon Cats who speaks thus in their praise:--	I find a writer upon Cats who speaks thus in their praise:--	true	1221.17	1224.37	20.54583
9023_296467_000035_000000	"It has been said that the Cat is one of those animals which has made the least return to man for his trouble by its services; but it is certain that it renders very essential service to man."	"It has been said that the Cat is one of those animals which has made the least return to man for his trouble by its services; but it is certain that it renders very essential service to man."	false	1224.77	1234.15	18
9023_296467_000036_000000	And another says:--	And another says:--	true	1234.49	1235.74	19.993416
9023_296467_000037_000000	"Authors seem to delight in exaggerating the good qualities of the Dog, while they depreciate those of the Cat; the latter, however, is not less useful, and certainly less mischievous, than the former."	"Authors seem to delight in exaggerating the good qualities of the Dog, while they depreciate those of the Cat; the latter, however, is not less useful, and certainly less mischievous, than the former."	true	1236.14	1246.15	21
9023_296467_000038_000000	Indeed, it would be unfair not to state that Pussy has had many able defenders, who have argued her case in verse as well as prose; for example, in Edmond Moore's fable of "_The Farmer, the Spaniel and the Cat_" the Spaniel, when Puss drew near to eat some of the fragments of a feast, repelled her, saying she does nothing to merit being fed, etc.:--	Indeed, it would be unfair not to state that Pussy has had many able defenders, who have argued her case in verse as well as prose; for example, in Edmond Moore's fable of "underscore The Farmer, the Spaniel and the Cat underscore" the Spaniel, when Puss drew near to eat some of the fragments of a feast, repelled her, saying she does nothing to merit being fed, etc:--	false	1246.76	1265.44	21.00288
9023_296467_000039_000000	"'I own' (with meekness Puss replied) 'Superior merit on your side; Nor does my breast with envy swell To find it recompens'd so well. Yet I, in what my nature can, Contribute to the good of man. Whose claws destroy the pilf'ring mouse? Who drives the vermin from the house? Or, watchful for the lab'ring swain, From lurking rats secures the grain? For this, if he rewards bestow, Why should your heart with gall o'erflow? Why pine my happiness to see, Since there's enough for you and me?' 'Thy words are just,' the Farmer cried, And spurned the Spaniel from his side."	"'I own' (with meekness Puss replied) 'Superior merit on your side; Nor does my breast with envy swell To find it recompens'd so well. Yet I, in what my nature can, Contribute to the good of man. Whose claws destroy the pilf'ring mouse? Who drives the vermin from the house? Or, watchful for the lab'ring swain, From lurking rats secures the grain? For this, if he rewards bestow, Why should your heart with gall o'erflow? Why pine my happiness to see, Since there's enough for you and me?' 'Thy words are just,' the Farmer cried, And spurned the Spaniel from his side."	false	1266.08	1301.62	21.439686
9023_296467_000040_000000	And, again, the same idea occurs in Gay's fable of the "_Man, the Cat, the Dog, and the Fly_." The Cat solicits aid from the Man in the social state.	And, again, the same idea occurs in Gay's fable of the "underscore Man, the Cat, the Dog, and the Fly underscore." The Cat solicits aid from the Man in the social state.	false	1301.75	1310.65	20.269388
9023_296467_000041_000000	"'Well, Puss,' says Man, 'and what can you To benefit the public do?' The Cat replies, 'These teeth, these claws, With vigilance shall serve the cause. The Mouse, destroy'd by my pursuit, No longer shall your feasts pollute; Nor Rats, from nightly ambuscade, With wasteful teeth your stores invade.' 'I grant,' says Man, 'to general use Your parts and talents may conduce; For rats and mice purloin our grain, And threshers whirl the flail in vain; Thus shall the Cat, a foe to spoil, Protect the farmers' honest toil.'"	"'Well, Puss,' says Man, 'and what can you To benefit the public do?' The Cat replies, 'These teeth, these claws, With vigilance shall serve the cause. The Mouse, destroy'd by my pursuit, No longer shall your feasts pollute; Nor Rats, from nightly ambuscade, With wasteful teeth your stores invade.' 'I grant,' says Man, 'to general use Your parts and talents may conduce; For rats and mice purloin our grain, And threshers whirl the flail in vain; Thus shall the Cat, a foe to spoil, Protect the farmers' honest toil.'"	false	1311.05	1342.72	22.149517
9023_296467_000042_000000	Mr. Ruskin says, "There is in every animal's eye a dim image and gleam of humanity, a flash of strange life through which their life looks at and up to our great mystery of command over them, and claims the fellowship of the creature, if not of the soul!"	mr Ruskin says, "There is in every animal's eye a dim image and gleam of humanity, a flash of strange life through which their life looks at and up to our great mystery of command over them, and claims the fellowship of the creature, if not of the soul!"	false	1343.78	1359.1	21.80439
9023_296467_000043_000000	Poor Pussy! on the whole she has had but few champions in comparison to the number of her foes.	Poor Pussy! on the whole she has had but few champions in comparison to the number of her foes.	false	1359.77	1364.98	21.350006
9023_296467_000043_000001	Let us see what anecdotes we can find which will show her in a favourable light; but my chapter is long enough, and I will conclude it with the epitaph placed over a favourite French Puss:--	Let us see what anecdotes we can find which will show her in a favourable light; but my chapter is long enough, and I will conclude it with the epitaph placed over a favourite French Puss:--	false	1365.62	1395.27	21.278885
