9023_296468_000000_000000	Poor Pussy! on the whole she has had but few champions in comparison to the number of her foes.	Poor Pussy! on the whole she has had but few champions in comparison to the number of her foes.	false	0	2.85	23.824574
9023_296468_000039_000004	Lay the animal upon your knees, and apply the right hand to the back, the left fore paw resting on the palm of your left hand, apply the thumb to the upper side of the paw, so as to extend the claws, and by this means bring your fore finger in contact with one of the bones of the leg, where it joins the paw; when from the knob or end of this bone, the finger slightly pressing on it, you may feel distinctly successive shocks similar to those obtained from the ears.	Lay the animal upon your knees, and apply the right hand to the back, the left fore paw resting on the palm of your left hand, apply the thumb to the upper side of the paw, so as to extend the claws, and by this means bring your fore finger in contact with one of the bones of the leg, where it joins the paw; when from the knob or end of this bone, the finger slightly pressing on it, you may feel distinctly successive shocks similar to those obtained from the ears.	false	878.75	900.64	18
9023_296468_000039_000005	The Reverend Mr. Wood expresses an opinion, that on account of the superabundance of electricity which is developed in the Cat, the animal is found very useful to paralysed persons, who instinctively encourage its approach, and from the touch derive some benefit.	The Reverend mr Wood expresses an opinion, that on account of the superabundance of electricity which is developed in the Cat, the animal is found very useful to paralysed persons, who instinctively encourage its approach, and from the touch derive some benefit.	true	901.04	913.93	20.980944
9023_296468_000039_000006	Those who suffer from rheumatism often find the presence of a Cat alleviate their sufferings.	Those who suffer from rheumatism often find the presence of a Cat alleviate their sufferings.	true	914.33	918.94	18
9023_296468_000039_000007	The same gentleman, writing of a favourite Cat, says, that if a hair of her mistress's head were laid upon the animal's back it would writhe as though in agony, and rolling on the floor, would strive to free herself from the object of her fears.	The same gentleman, writing of a favourite Cat, says, that if a hair of her mistress's head were laid upon the animal's back it would writhe as though in agony, and rolling on the floor, would strive to free herself from the object of her fears.	true	919.31	932.41	20
9023_296468_000039_000008	The pointing of a finger at her side, at a distance of half a foot, would cause her fur to bristle up and throw her into a violent tremour.	The pointing of a finger at her side, at a distance of half a foot, would cause her fur to bristle up and throw her into a violent tremour.	true	932.75	939.16	17
9023_296468_000040_000000	It is difficult to account for the fondness of Cats for fish, as nature seems to have given them an appetite, which, with their great antipathy to water, they can rarely gratify unassisted.	It is difficult to account for the fondness of Cats for fish, as nature seems to have given them an appetite, which, with their great antipathy to water, they can rarely gratify unassisted.	true	940.04	950.89	24.099165
9023_296468_000040_000001	Many instances have, however, been recorded of Cats catching fish.	Many instances have, however, been recorded of Cats catching fish.	true	951.14	955.3	21.529278
9023_296468_000040_000002	A Mr. Moody, of Sesmond, near Newcastle-upon-Tyne, had a Cat in 1829 which had been in his possession for some years, and caught fish with great assiduity, and frequently brought them home alive.	A mr Moody, of Sesmond, near Newcastle upon Tyne, had a Cat in eighteen twenty nine which had been in his possession for some years, and caught fish with great assiduity, and frequently brought them home alive.	true	955.52	968.44	21
9023_296468_000040_000003	Besides minnows and eels, she occasionally carried home pilchards, one of which, about six inches long, was once found in her possession; she also contrived to teach a neighbour's Cat to fish, and the two were sometimes seen together watching by a river side for their prey.	Besides minnows and eels, she occasionally carried home pilchards, one of which, about six inches long, was once found in her possession; she also contrived to teach a neighbour's Cat to fish, and the two were sometimes seen together watching by a river side for their prey.	true	968.75	981.46	14
9023_296468_000040_000004	At other times they were seen at opposite sides of the river, not far from each other, on the look out for game.	At other times they were seen at opposite sides of the river, not far from each other, on the look out for game.	true	982.04	987.46	20.71632
9023_296468_000041_000000	A writer in the _Plymouth Journal_, June 1828, says:--"There is now at the battery, on the Devil's Point, a Cat which is an expert catcher of the finny tribe, being in the constant habit of diving into the sea and bringing up the fish alive in her mouth, and depositing them in the guard room for the use of the sailors.	A writer in the underscore Plymouth Journal underscore, june eighteen twenty eight, says:--"There is now at the battery, on the Devil's Point, a Cat which is an expert catcher of the finny tribe, being in the constant habit of diving into the sea and bringing up the fish alive in her mouth, and depositing them in the guard room for the use of the sailors.	false	988.58	1004.14	22
9023_296468_000041_000001	She is now seven years old, and has long been a useful caterer.	She is now seven years old, and has long been a useful caterer.	true	1004.36	1007.83	20
9023_296468_000041_000002	It is supposed that her pursuit of the water-rats first taught her to venture into the water, to which it is well known Puss has a natural aversion.	It is supposed that her pursuit of the water rats first taught her to venture into the water, to which it is well known Puss has a natural aversion.	true	1008.29	1015	17
9023_296468_000041_000003	She is now as fond of the water as a Newfoundland dog, and takes her regular peregrinations along the rocks at its edge, looking out for her game ready to dive for it at a moment's notice."	She is now as fond of the water as a Newfoundland dog, and takes her regular peregrinations along the rocks at its edge, looking out for her game ready to dive for it at a moment's notice."	true	1015.22	1024.06	15
9023_296468_000042_000000	Talking of the Cat's fondness for fish, I should, however, mention, that if a plate of meat and a plate of fish, either raw or cooked, be placed before the generality of Cats, they will be found almost always to choose the meat.	Talking of the Cat's fondness for fish, I should, however, mention, that if a plate of meat and a plate of fish, either raw or cooked, be placed before the generality of Cats, they will be found almost always to choose the meat.	false	1024.67	1035.43	20.557415
9023_296468_000043_000000	It is usually supposed that a tortoiseshell Tom is an impossibility.	It is usually supposed that a tortoiseshell Tom is an impossibility.	true	1035.83	1039.28	17
9023_296468_000043_000001	The animal is certainly rare, as is also a Queen Anne's farthing; but it is not such a rarity as we are led to believe.	The animal is certainly rare, as is also a Queen Anne's farthing; but it is not such a rarity as we are led to believe.	true	1039.28	1045.44	20
9023_296468_000043_000002	On the contrary, specimens are frequently offered for sale at the Zoological Gardens.	On the contrary, specimens are frequently offered for sale at the Zoological Gardens.	true	1045.44	1049.56	17
9023_296468_000044_000000	It is another great mistake to think that Cats have fleas: the insect infesting a half-grown Cat does not leap like a flea.	It is another great mistake to think that Cats have fleas: the insect infesting a half grown Cat does not leap like a flea.	false	1050.26	1056.94	21.52166
9023_296468_000045_000000	The she Cat goes with young from fifty-five to fifty-eight days, and generally has four or five kittens at a litter.	The she Cat goes with young from fifty five to fifty eight days, and generally has four or five kittens at a litter.	true	1057.67	1063.78	22
9023_296468_000045_000001	When born, they are blind and deaf, like puppies.	When born, they are blind and deaf, like puppies.	true	1064.15	1066.48	19.455595
9023_296468_000045_000002	They get their sight in about nine days, and are about eighteen months before reaching full growth.	They get their sight in about nine days, and are about eighteen months before reaching full growth.	true	1066.76	1071.31	19.779917
9023_296468_000046_000000	Those who wish their Cats to catch mice, I should advise not to neglect the Cat's food.	Those who wish their Cats to catch mice, I should advise not to neglect the Cat's food.	true	1072.16	1076.64	22.015018
9023_296468_000046_000001	A starved Cat makes a very bad mouser; being too eager and hungry for the work, it tries to pounce upon its prey before the proper time comes.	A starved Cat makes a very bad mouser; being too eager and hungry for the work, it tries to pounce upon its prey before the proper time comes.	false	1076.64	1084.12	19.840542
9023_296468_000046_000002	A good mouser does not eat the mouse.	A good mouser does not eat the mouse.	true	1084.16	1086.1	20.64398
9023_296468_000046_000003	I have a black Cat, which is very fat, but a wonderful huntsman, and surprisingly nimble at the chase.	I have a black Cat, which is very fat, but a wonderful huntsman, and surprisingly nimble at the chase.	true	1086.62	1091.59	21.121464
9023_296468_000046_000004	He is also as proud of his achievements as a human sportsman, and brings me every head of game he catches.	He is also as proud of his achievements as a human sportsman, and brings me every head of game he catches.	true	1091.81	1096.78	18
9023_296468_000046_000005	Sometimes, if I have been out when he has caught his mouse, he has gone all over the house in search of me, and at last has taken his seat by the fireside, or out in the garden, and nursed the trophy of his prowess until I returned, mewing piteously if anyone attempted to take it away; but once having laid it at my feet, and had his head scratched in return, his interest in the matter seemed to cease, and he went away without again attempting to touch it.	Sometimes, if I have been out when he has caught his mouse, he has gone all over the house in search of me, and at last has taken his seat by the fireside, or out in the garden, and nursed the trophy of his prowess until I returned, mewing piteously if anyone attempted to take it away; but once having laid it at my feet, and had his head scratched in return, his interest in the matter seemed to cease, and he went away without again attempting to touch it.	false	1097.3	1117.57	17
9023_296468_000046_000006	It was clear that he had made me a present of the game; and, as we sometimes think, when we make anyone a present of something to eat, it would be more delicate for us to go away immediately, lest it might be supposed we desired to be asked to stop and partake of it, Tom thus departed, no doubt with a similar idea.	It was clear that he had made me a present of the game; and, as we sometimes think, when we make anyone a present of something to eat, it would be more delicate for us to go away immediately, lest it might be supposed we desired to be asked to stop and partake of it, Tom thus departed, no doubt with a similar idea.	true	1117.88	1132.69	20.402029
9023_296468_000047_000000	"No experiment," says an intelligent writer, "can be more beautiful than that of setting a kitten for the first time before a looking-glass.	"No experiment," says an intelligent writer, "can be more beautiful than that of setting a kitten for the first time before a looking glass.	true	1133.27	1139.5	20
9023_296468_000047_000001	The animal appears surprised and pleased with the reflection, and makes several attempts to touch its new acquaintance; and at length, finding its efforts fruitless, it looks behind the glass, and appears highly astonished at the absence of the figure.	The animal appears surprised and pleased with the reflection, and makes several attempts to touch its new acquaintance; and at length, finding its efforts fruitless, it looks behind the glass, and appears highly astonished at the absence of the figure.	false	1139.81	1151.62	20.787184
9023_296468_000047_000002	It again views itself, and tries to touch the image with its foot, suddenly looking at intervals behind the glass.	It again views itself, and tries to touch the image with its foot, suddenly looking at intervals behind the glass.	true	1151.84	1157.65	21.577856
9023_296468_000047_000003	It then becomes more accurate in its observations, and begins, as it were, to make experiments by stretching out its paw in different directions; and when it finds that these motions are answered in every respect by the figure in the glass, it seems at length to be convinced of the real nature of the image."	It then becomes more accurate in its observations, and begins, as it were, to make experiments by stretching out its paw in different directions; and when it finds that these motions are answered in every respect by the figure in the glass, it seems at length to be convinced of the real nature of the image."	false	1157.9	1180.89	19.433844
