9022_282383_000000_000000	[1] See _Pioneers of the Pacific Coast_ in this Series.	[one] See underscore Pioneers of the Pacific Coast underscore in this Series.	false	1.11	9.96	25.821087
9022_282383_000027_000001	Science of a later {66} day pronounced this a gas well burning above some subterranean coal seam.	Science of a later {sixty six} day pronounced this a gas well burning above some subterranean coal seam.	false	997.16	1002.97	22.976042
9022_282383_000028_000000	At length the Overlanders were ascending the banks of the M'Leod, whose torrential current warned them of rising ground.	At length the Overlanders were ascending the banks of the M'Leod, whose torrential current warned them of rising ground.	false	1003.85	1010.44	21.667723
9022_282383_000028_000001	Three times in one day windfall and swamp forced the party to ford the stream for passage on the opposite side.	Three times in one day windfall and swamp forced the party to ford the stream for passage on the opposite side.	true	1010.78	1017.88	24.428268
9022_282383_000028_000002	The oxen swam and the ox-carts floated and the packs came up the bank dripping.	The oxen swam and the ox carts floated and the packs came up the bank dripping.	true	1018.94	1024.12	25.309114
9022_282383_000028_000003	For eleven days in August every soul of the company, including Mrs Shubert's babies, travelled wet to the skin.	For eleven days in August every soul of the company, including Mrs Shubert's babies, travelled wet to the skin.	true	1024.64	1031.98	25.234358
9022_282383_000028_000004	At night great log fires were kindled and the Overlanders sat round trying to dry themselves out.	At night great log fires were kindled and the Overlanders sat round trying to dry themselves out.	true	1032.17	1038.67	26.34146
9022_282383_000028_000005	Then the trail lifted to the foothills.	Then the trail lifted to the foothills.	true	1039.4	1042.09	20.545153
9022_282383_000028_000006	And on the evening of the 15th of August there pierced through the clouds the snowy, shining, serrated peaks of the Rockies.	And on the evening of the fifteenth of August there pierced through the clouds the snowy, shining, serrated peaks of the Rockies.	true	1042.34	1050	21.531385
9022_282383_000029_000000	[Illustration: Upper M'Leod River.	[Illustration: Upper M'Leod River.	false	1050	1051.05	0
9022_282383_000029_000001	From a photograph.]	From a photograph.]	false	1051.05	1051.47	33.583046
9022_282383_000030_000000	A cheer broke from the ragged band.	A cheer broke from the ragged band.	false	1051.47	1053.55	26.752928
9022_282383_000030_000001	Just beyond the shining mountains lay--Fortune.	Just beyond the shining mountains lay-Fortune.	true	1053.8	1057.15	26.214243
9022_282383_000030_000002	What cared these argonauts, who had tramped across the width of the continent, that the lofty mountains raised a sheer wall between them and their treasure?	What cared these argonauts, who had tramped across the width of the continent, that the lofty mountains raised a sheer wall between them and their treasure?	true	1057.94	1066.27	25.336145
9022_282383_000030_000003	Cheer on cheer rang from the encampment.	Cheer on cheer rang from the encampment.	true	1066.85	1069.39	21.478516
9022_282383_000030_000004	Men with clothes in tatters pitched caps in air, proud that they had proved themselves kings of their own fate.	Men with clothes in tatters pitched caps in air, proud that they had proved themselves kings of their own fate.	false	1069.61	1076.38	26.430681
9022_282383_000030_000005	It is, perhaps, well that we have to climb our {67} mountains step by step; else would many turn back.	It is, perhaps, well that we have to climb our {sixty seven} mountains step by step; else would many turn back.	false	1076.81	1083.25	25.652912
9022_282383_000030_000006	But there were no faint-hearts in the camp that night.	But there were no faint hearts in the camp that night.	true	1083.56	1086.19	20.83972
9022_282383_000030_000007	Even the Irishwoman's two little children came out and gazed at what they could not understand.	Even the Irishwoman's two little children came out and gazed at what they could not understand.	true	1086.5	1092.13	24.26144
9022_282383_000031_000000	The party now crossed a ravine to the main stream of the Athabaska.	The party now crossed a ravine to the main stream of the Athabaska.	true	1093.01	1097.02	22.09556
9022_282383_000031_000001	It was necessary to camp here for a week.	It was necessary to camp here for a week.	true	1097.24	1099.81	23.837023
9022_282383_000031_000002	A huge raft was built of pine saplings bound together by withes.	A huge raft was built of pine saplings bound together by withes.	false	1100	1104.48	23.389292
9022_282383_000031_000003	To the stern of this was attached a tree, the branch end dipping in the water, as a sweep and rudder to keep the craft to its course.	To the stern of this was attached a tree, the branch end dipping in the water, as a sweep and rudder to keep the craft to its course.	true	1104.48	1112.26	25.63329
9022_282383_000031_000004	On this the Overlanders were ferried across the Athabaska.	On this the Overlanders were ferried across the Athabaska.	true	1112.66	1116.19	20.597294
9022_282383_000031_000005	And so they entered the Yellowhead Pass.	And so they entered the Yellowhead Pass.	true	1116.35	1118.55	22
9022_282383_000032_000000	[1] See the map in _The Adventurers of England on Hudson Bay_ in this Series.	[one] See the map in underscore The Adventurers of England on Hudson Bay underscore in this Series.	false	1118.55	1120.56	30.344591
9022_282383_000033_000000	[2] Perhaps the distinction should be made here between the muskeg and the slough.	[two] Perhaps the distinction should be made here between the muskeg and the slough.	false	1120.56	1121.28	24.611677
9022_282383_000033_000001	The slough was simply any depression in the ground filled with mud and water.	The slough was simply any depression in the ground filled with mud and water.	false	1121.28	1122.03	-20
9022_282383_000033_000002	The muskeg was permanent wet ground resting on soft mud, covered over on the top with most deceiving soft green moss which looked solid, but which quaked to every step and gave to the slightest weight.	The muskeg was permanent wet ground resting on soft mud, covered over on the top with most deceiving soft green moss which looked solid, but which quaked to every step and gave to the slightest weight.	false	1122.03	1123.92	-20
9022_282383_000033_000003	Many muskegs west of Edmonton have been formed by beavers damming the natural drainage of a small river for so many centuries that the silt and humus washed down from the mountains have formed a surface of deep black muck.	Many muskegs west of Edmonton have been formed by beavers damming the natural drainage of a small river for so many centuries that the silt and humus washed down from the mountains have formed a surface of deep black muck.	false	1123.92	1126.02	-20
